wavenumber,wavenumber_adjusted,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
638.594,640.473145840736,3.45733,2.284,2.32933,2.15867,2.184,2.12667,2.02267,2.03733,2.06933,2.032,2.23867,3.452,5.024,13.9187,13.368,12.5987,12.2307,11.9267,12.0893,12.604
639.161,641.040145840736,3.39467,2.24,2.19333,2.18133,2.07333,2.07067,2.08133,2.08533,2.048,2.032,2.124,3.40533,4.908,14.0347,13.2733,12.4173,12.4293,11.7147,12.2987,12.4987
639.726,641.605145840736,3.40933,2.3,2.228,2.11067,2.06,2.07467,2.11467,2.092,2.03467,2.048,2.11867,3.47067,4.976,14.0227,13.2213,12.5493,12.2467,11.6787,12.1453,12.6507
640.292,642.171145840736,3.352,2.34133,2.20667,2.17867,2.048,1.99333,2.10267,2.056,2.108,2.04267,2.16,3.37867,4.94667,13.948,13.32,12.4787,12.3573,11.6813,12.1653,12.556
640.857,642.736145840736,3.40267,2.28133,2.22267,2.096,2.11467,2.024,2.068,2.02133,1.976,2.03333,2.20533,3.45467,4.86533,14.256,13.12,12.392,12.2907,11.7973,12.1467,12.644
641.423,643.302145840736,3.48133,2.276,2.276,2.06133,2.132,2.04667,2.02933,2.01867,2.012,2.08267,2.04667,3.332,4.992,13.676,13.1467,12.3147,12.3133,11.688,12.096,12.6307
641.99,643.869145840736,3.556,2.28933,2.24667,2.08933,2.148,2.01333,2.004,2.01333,2.012,2.052,2.064,3.25867,4.78933,13.8253,13.0907,12.3533,12.4547,11.812,11.9733,12.6053
642.554,644.433145840736,3.34,2.248,2.248,1.976,2.01867,2.09467,2.072,2.08667,2.05867,2.012,2.12267,3.256,4.904,13.9253,13.2053,12.3867,12.4693,11.6827,12.048,12.5973
643.121,645.000145840736,3.40133,2.28667,2.17867,2.14,2.07467,2.07467,2.02533,1.98,2.02,2.016,2.19867,3.508,4.91733,13.6827,13.128,12.3827,12.172,11.808,12.108,12.364
643.685,645.564145840736,3.43733,2.30533,2.16667,2.05067,2.08,2.04267,2.00533,2.008,1.94933,2.03333,2.08,3.412,4.952,13.9573,13.1973,12.476,12.3733,11.7573,12.1187,12.5493
